863,水佐岗48巷小区 水佑岗 新街口 山西路 人和街 地铁 草场门,2室1厅,59㎡,简装,高层(共6层),整租,鼓楼-水佐岗-水佐岗48巷小区 (水佐岗48巷),有家私随时看房,南京市赤壁路小学,3000
864,新民路小区 2室0厅1厨1卫 52.0m² 整租,2室0厅,52㎡,简装,高层(共4层),整租,鼓楼-建宁路-新民路小区 (新民路),空房,南京市长平路小学,2500
865,武定新村 2室1厅1厨1卫 66.0m² 整租,2室1厅,66㎡,简装,高层(共6层),整租,秦淮-秦虹-武定新村,有家私家电齐全,南京市武定新村小学,3000
866,康藏路小区 水佐岗 山西路 新街口 虎踞路 草场门,2室1厅,50㎡,简装,高层(共7层),整租,鼓楼-水佐岗-康藏路小区,空房,南京市赤壁路小学,3000
867,辰龙雅苑 精装单身公寓 近地铁4号线 电梯江景房 采光充足,1室1厅,43㎡,精装,中层(共17层),整租,鼓楼-草场门大街-辰龙雅苑,电梯空房,南京市宝船小学,2800
868,百合果园  整租 家电齐全 低楼层 拎包入住 随时看房,2室2厅,61.2㎡,精装,低层(共7层),整租,鼓楼-定淮门大街-百合果园,有家私家电齐全,南京师范附属中学树人学校附属小学,2900
869,方山熙园 3室2厅1厨1卫 113.0m² 整租,3室2厅,113㎡,简装,中层(共6层),整租,江宁-江宁大学城-方山熙园,有家私家电齐全,南京市月华路小学,3500
870,水佐岗48巷小区 2室2厅 家电齐全 赤壁路 山西路 地铁,2室2厅,59.63㎡,精装,高层(共7层),整租,鼓楼-水佐岗-水佐岗48巷小区 (水佐岗48巷),随时看房空房,南京市赤壁路小学,3000
871,百合果园 树 人初中 适合陪读家庭 正规大三居室,3室2厅,125㎡,精装,低层(共27层),整租,鼓楼-定淮门大街-百合果园,电梯空房,南京师范附属中学树人学校附属小学,6000
872,中海凤凰熙岸四期玺荟 中海 四期 玺荟 精装两房 拎包入住 电梯房,2室1厅,57㎡,精装,高层(共28层),整租,鼓楼-凤凰西街-中海凤凰熙岸四期玺荟 (中海凤凰熙岸玺荟),有家电有家私电梯,南京市芳草园小学（凤凰校区）,4500
873,武夷名仕园 3室2厅1厨1卫 123.0m² 整租,3室2厅,123㎡,精装,中层(共18层),整租,江宁-江宁大学城-武夷名仕园,有家电有家私随时看房,南京市齐武路小学,3700
874,龙湖新壹城 2室0厅0厨2卫 40.0m² 整租,2室0厅,40㎡,精装,高层(共20层),整租,江宁-江宁大学城-龙湖新壹城,距离1号线南京交院站约46米电梯空房,南京晓庄学院实验小学,2200
875,南湾营文康苑 3室1厅1厨1卫90.0m²整租,3室1厅,90㎡,精装,低层(共11层),整租,栖霞-马群-南湾营文康苑,空房,南京市南湾营小学,2200
876,骋望骊都 3室2卫 141.0m² 整租4800包物业系统费,3室2厅,141㎡,精装,中层(共9层),整租,江宁-江宁大学城-骋望骊都,有家电有家私,南京市齐武路小学,4800
877,金川雅苑 三牌楼 福建路 铁路北街 南财 大四房 随时看,4室1厅,75㎡,精装,高层(共7层),整租,鼓楼-福建路-金川雅苑,有家私随时看房,南京市财经大学附属小学,4000
878,翠屏紫气钟山 1室1厅1厨1卫 47.0m² 整租,1室1厅,47㎡,精装,高层(共6层),整租,玄武-樱驼花园-翠屏紫气钟山 (紫气钟山),有家电家电齐全,南师大附小仙鹤门分校,3000
879,苏城北苑 3室2厅1厨2卫 137.67m² 整租,3室2厅,137.67㎡,精装,高层(共18层),整租,鼓楼-龙江-苏城北苑,有家私电梯,南京市汉江路小学,8800
880,元隆府邸 龙江 元隆 精装单室套 采光好 交通便利,1室1厅,45㎡,精装,中层(共7层),整租,鼓楼-草场门大街-元隆府邸,空房,南京市银城小学,3000
881,丰富路小区 3室1厅1厨1卫 70.0m² 整租,3室1厅,70㎡,精装,高层(共6层),整租,秦淮-新街口-丰富路小区 (丰富路),有家私家电齐全,秣陵路小学,4800
882,大纱帽巷38号小区 丹凤街东南大学南师附小长江路珠江路门面房出租可餐饮,3室1厅,60㎡,简装,低层(共7层),整租,玄武-珠江路-大纱帽巷38号小区 (大纱帽巷38号),距离3号线浮桥站约261米空房,南京师范大学附属小学（珠江路校区）,12500
883,印湖山庄 三房两卫户型 居家适宜,3室2厅,123.34㎡,简装,高层(共11层),整租,江宁-江宁大学城-印湖山庄,有家私家电齐全,南京市天景山小学,2500
884,江苏路小区 山西路 鼓楼 地铁 云南路 上海路 新街口,4室1厅,72.38㎡,精装,高层(共8层),整租,鼓楼-湖南路-江苏路小区 (江苏路),空房,南京市赤壁路小学,4500
885,清荷园北园 4室0厅1厨1卫 80.0m² 整租,4室0厅,80㎡,精装,高层(共34层),整租,建邺-奥南-清荷园北园,距离S3(宁和城际)永初路站约281米电梯空房,南京市清润小学,3000
886,大方巷小区 整租简装三室 家电齐全 拎包入住 随时看房,3室1厅,76㎡,精装,高层(共6层),整租,鼓楼-湖南路-大方巷小区 (大方巷),有家私家电齐全,南京市赤壁路小学,3300
887,百子亭小区 3室0厅1厨1卫 62.05m² 整租,3室0厅,62.05㎡,精装,低层(共6层),整租,玄武-玄武门-百子亭小区 (百子亭),距离1号线玄武门站约428米空房,南京市中央路小学,4600
888,升龙天汇 4室2厅1厨2卫 115.0m² 整租,4室2厅,115㎡,精装,低层(共30层),整租,建邺-奥体-升龙天汇,电梯空房,南京外国语学校河西初级中学第一附属小学,5000
889,骋望骊都 3室2厅1厨1卫 108.0m² 整租,3室2厅,108㎡,精装,低层(共11层),整租,江宁-江宁大学城-骋望骊都,随时看房空房,南京市齐武路小学,3800
890,高楼门 2室1厅1厨1卫 60.0m² 整租,2室1厅,60㎡,精装,高层(共6层),整租,玄武-玄武门-高楼门,有家私,南京市中央路小学,4000
901,花神美境 3室2厅1厨1卫 108.0m² 整租 精装修,3室2厅,108㎡,精装,高层(共6层),整租,雨花台-宁南-花神美境,空房,南京市雨花台外国语小学,5000
902,陶苑 2室2厅1厨1卫 85.0m² 整租,2室2厅,85㎡,精装,高层(共6层),整租,江宁-江宁大学城-陶苑,有家私随时看房,南京市齐武路小学,2500
903,东郊小镇第三街区 马群东东郊小镇精致装修户型超正,2室2厅,83㎡,精装,中层(共6层),整租,江宁-麒麟镇-东郊小镇第三街区,有家私家电齐全,南京市麒麟镇锁石小学,2000
904,幸福城茉莉园 1室1厅1厨1卫58.0m²整租,1室1厅,58㎡,精装,高层(共18层),整租,栖霞-马群-幸福城茉莉园 (茉莉园),电梯空房,南京市花港第二小学,1700
905,水佐岗小区 江苏路 天津新村 草场门 南艺地铁 水佐岗 赤壁路,3室0厅,63.66㎡,精装,高层(共4层),整租,鼓楼-水佐岗-水佐岗小区 (水佐岗),随时看房空房,南京市赤壁路小学,4200
906,莲花新城南苑 1室1厅1厨1卫 47.6m² 整租,1室1厅,47.6㎡,精装,低层(共34层),整租,建邺-奥体-莲花新城南苑,电梯空房,南京市莲花实验学校（小学部）,2600
907,盛和家园 2室2厅1厨1卫 71.0m² 整租,2室2厅,71㎡,简装,中层(共18层),整租,玄武-孝陵卫-盛和家园,随时看房电梯空房,南京市南湾营小学,2100
908,证大大拇指 热河南路 大观天地 鼓楼滨江 精装 电梯 拎包住,2室1厅,78㎡,精装,高层(共31层),整租,鼓楼-建宁路-证大大拇指 (证大大拇指广场),有家私电梯,南京市第十二中学（初中部）,4300
909,芳草园 居家四房 中间楼层 物业完善 交通便利 近地铁,4室0厅,90㎡,精装,中层(共7层),整租,鼓楼-龙江-芳草园,空房,南京市芳草园小学（龙江校区）,5300
910,恒盛金陵湾 2室2厅1厨1卫 100.0m² 整租,2室2厅,100㎡,简装,高层(共46层),整租,鼓楼-龙江-恒盛金陵湾,电梯空房,南京师范附属中学树人学校附属小学,4800
911,银城花园北片 居家四房 一楼 精装修 银城陪读 南北通透,4室1厅,65㎡,简装,低层(共7层),整租,鼓楼-龙江-银城花园北片,空房,南京市银城小学,5000
912,南湾营文康苑 马群地铁旁  南湾营社区  好楼层两室朝南,2室1厅,68㎡,简装,中层(共11层),整租,栖霞-马群-南湾营文康苑,空房,南京市南湾营小学,1700
913,印湖山庄 整租 精装,3室2厅,124㎡,简装,高层(共11层),整租,江宁-江宁大学城-印湖山庄,有家私家电齐全,南京市天景山小学,3000
